id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	9.1 +/- 7.2 uM	Children:1-13 yrs old	N/A	Blood	NA
1	1-Methylhistidine	HMDB0000001	Obesity	Diagnostic	10.9 (0.80-21.0) umol/mmol creatinine	Adult	Both	Urine	Tuma, P., Samcova, E. & Balinova, P. Determination of 3-methylhistidine and 1-methylhistidine in untreated urine samples by capillary electrophoresis. J Chromatogr B Analyt Technol Biomed Life Sci 821, 53-59 (2005).
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	85.8 (17.7-153.8) umol/mmol creatinine	Adult	Both	Urine	David F. Putnam Composition and Concentrative Properties of Human Urine. NASA Contractor Report. July 1971
1	1-Methylhistidine	HMDB0000001	Alzheimer's Disease	Diagnostic	15.7 (11.7-19.7) umol/mmol creatinine	Adult	Both	Urine	Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).
1	1-Methylhistidine	HMDB0000001	Pregnancy	Diagnostic	50.0 (44.2-55.8) uM	Adult	Female	Blood	Pubmed_ID: 22494326
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	12.7 (9.8-15.6) uM	Adult	Both	Blood	Dohm, G. L., Williams, R. T., Kasperek, G. J. & van Rij, A. M. Increased excretion of urea and N tau -methylhistidine by rats and humans after a bout of exercise. J Appl Physiol 52, 27-33 (1982).
1	1-Methylhistidine	HMDB0000001	Preeclampsia/Eclampsia	Diagnostic	50.7 uM	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 22494326
1	1-Methylhistidine	HMDB0000001	Kidney Disease	Diagnostic	83.1 (61.4-104.8) uM	Adult	Both	Blood	Raj, D. S., Ouwendyk, M., Francoeur, R. & Pierratos, A. Plasma amino acid profile on nocturnal hemodialysis. Blood Purif 18, 97-102 (2000).
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	9.5 (0-19) uM	Infant: 1-< 2 weeks old	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	15.5 (1-30) uM	Infant/Adolescent: 2 weeks-<19 yrs old	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
